Week,WeekStart,Symbol,H1_Bars_Above20,H1_Total_Bars,H1_Pct_Above20,H1_Range_Pips,H1_AvgADX,H1_MaxADX,H4_Bars_Above20,H4_Total_Bars,H4_Pct_Above20,H4_Bars_Above30,H4_Pct_Above30,H4_Range_Pips,H4_AvgADX,H4_MaxADX,H4_Vel_Pos_Pct,ATR_Phase,ATR_Ratio,Score_Axis_A,Score_Axis_B,Score_Axis_C,ADX_Score_v3,Score_Band_v3,Score_Comment
2022-W01,2022.01.03,XAUUSD,66,115,57.4,490.7,22.21,36.23,0,30,0.0,0,0.0,0.0,13.11,17.39,52.0,NORMAL_FLAT,1.000,33.0,32.0,4.57,69.6,GOOD,NORMAL
2022-W02,2022.01.10,XAUUSD,62,115,53.9,281.2,24.75,43.22,7,30,23.3,0,0.0,158.4,17.51,22.13,56.7,BOTTOM_CONT,0.848,33.0,35.0,8.99,77.0,OPTIMAL,OPTIMAL
2022-W03,2022.01.17,XAUUSD,36,113,31.9,174.2,16.53,28.46,0,30,0.0,0,0.0,0.0,14.38,16.25,33.3,NORMAL_RISE,1.000,22.0,5.0,2.40,29.4,CAUTION,OVERHEAT
2022-W04,2022.01.24,XAUUSD,61,115,53.0,692.9,22.32,36.33,8,30,26.7,1,3.3,301.9,17.67,30.68,56.7,HIGH_CONT,1.216,33.0,8.0,5.97,47.0,WATCH,RISING
2022-W05,2022.01.31,XAUUSD,58,115,50.4,293.1,19.91,26.51,15,30,50.0,7,23.3,231.9,22.65,33.41,30.0,NORMAL_FALL,0.918,22.0,15.0,5.63,42.6,CAUTION,NORMAL
2022-W06,2022.02.07,XAUUSD,84,115,73.0,588.3,25.22,47.53,19,30,63.3,0,0.0,446.1,20.60,26.10,60.0,HIGH_CONT,1.124,40.0,8.0,8.54,56.5,WATCH,RISING
2022-W07,2022.02.14,XAUUSD,78,115,67.8,579.8,27.34,49.24,30,30,100.0,8,26.7,579.8,26.44,35.84,80.0,HIGH_CONT,1.137,40.0,8.0,13.51,61.5,GOOD,NORMAL
2022-W08,2022.02.21,XAUUSD,59,113,52.2,964.4,21.29,38.44,30,30,100.0,29,96.7,964.4,36.60,41.72,53.3,PEAK_CONT,2.249,33.0,18.0,14.18,65.2,GOOD,NORMAL
2022-W09,2022.02.28,XAUUSD,39,115,33.9,590.1,19.28,35.35,30,30,100.0,1,3.3,792.5,24.27,30.49,46.7,PEAK_FALL,1.316,25.0,12.0,9.15,46.2,WATCH,SCORE_FALL
2022-W10,2022.03.07,XAUUSD,60,115,52.2,1092.3,21.91,39.69,30,30,100.0,26,86.7,1117.1,37.21,46.08,53.3,PEAK_CONT,1.957,33.0,18.0,14.92,65.9,GOOD,RISING
2022-W11,2022.03.14,XAUUSD,94,115,81.7,835.6,32.80,56.80,30,30,100.0,20,66.7,947.7,34.04,44.43,53.3,HIGH_FALL,1.114,33.0,13.0,19.73,65.7,GOOD,NORMAL
2022-W12,2022.03.21,XAUUSD,46,115,40.0,479.4,17.80,29.04,27,30,90.0,7,23.3,554.2,25.81,31.31,23.3,BOTTOM_CONT,0.888,22.0,35.0,8.11,65.1,GOOD,BOTTOM_WAIT
2022-W13,2022.03.28,XAUUSD,71,115,61.7,597.5,20.89,34.36,0,30,0.0,0,0.0,0.0,14.59,18.14,26.7,NORMAL_FLAT,0.916,22.0,32.0,2.88,56.9,WATCH,NORMAL
2022-W14,2022.04.04,XAUUSD,2,115,1.7,92.9,15.39,20.27,0,30,0.0,0,0.0,0.0,10.36,11.62,40.0,BOTTOM,0.735,25.0,25.0,0.12,50.1,WATCH,BOTTOM_WAIT
2022-W15,2022.04.11,XAUUSD,10,92,10.9,339.5,16.02,20.93,16,24,66.7,8,33.3,317.5,24.54,34.36,95.8,BOTTOM_TURN,0.806,15.0,28.0,4.81,47.8,WATCH,NORMAL
2022-W16,2022.04.18,XAUUSD,59,115,51.3,717.6,21.36,35.55,30,30,100.0,7,23.3,717.6,26.38,33.48,33.3,NORMAL_FLAT,0.960,22.0,32.0,8.74,62.7,GOOD,RISING
2022-W17,2022.04.25,XAUUSD,70,115,60.9,621.6,26.89,51.99,30,30,100.0,29,96.7,621.6,39.73,45.71,73.3,NORMAL_RISE,1.047,40.0,5.0,20.87,65.9,GOOD,NORMAL
2022-W18,2022.05.02,XAUUSD,60,115,52.2,594.2,22.29,36.81,25,30,83.3,18,60.0,594.2,28.12,34.52,23.3,PEAK_CONT,1.364,22.0,18.0,11.74,51.7,WATCH,NORMAL
2022-W19,2022.05.09,XAUUSD,70,115,60.9,730.8,23.16,34.88,18,30,60.0,0,0.0,597.0,20.88,29.00,73.3,HIGH_FALL,1.101,40.0,13.0,7.69,60.7,GOOD,NORMAL
2022-W20,2022.05.16,XAUUSD,74,115,64.3,626.1,21.06,31.92,18,30,60.0,4,13.3,493.3,22.68,31.14,20.0,BOTTOM_CONT,0.872,22.0,35.0,6.73,63.7,GOOD,BOTTOM_WAIT
2022-W21,2022.05.23,XAUUSD,68,115,59.1,247.3,23.21,40.27,0,30,0.0,0,0.0,0.0,17.24,19.50,46.7,BOTTOM_CONT,0.850,25.0,35.0,6.67,66.7,GOOD,BOTTOM_WAIT
2022-W22,2022.05.30,XAUUSD,44,112,39.3,456.0,18.88,30.29,0,30,0.0,0,0.0,0.0,16.25,18.91,36.7,BOTTOM_CONT,0.800,22.0,35.0,4.04,61.0,GOOD,BOTTOM_WAIT
2022-W23,2022.06.06,XAUUSD,50,115,43.5,509.7,19.39,30.80,0,30,0.0,0,0.0,0.0,11.44,14.87,20.0,NORMAL_RISE,1.004,22.0,5.0,2.57,29.6,CAUTION,OVERHEAT
2022-W24,2022.06.13,XAUUSD,53,115,46.1,740.3,19.13,31.19,19,30,63.3,0,0.0,524.5,21.77,28.31,53.3,HIGH_CONT,1.205,33.0,8.0,6.17,47.2,WATCH,RISING
2022-W25,2022.06.20,XAUUSD,22,112,19.6,149.5,15.36,30.37,0,30,0.0,0,0.0,0.0,15.38,17.57,43.3,BOTTOM_CONT,0.876,25.0,35.0,4.58,64.6,GOOD,RISING
2022-W26,2022.06.27,XAUUSD,42,115,36.5,548.9,21.89,49.98,0,30,0.0,0,0.0,0.0,12.16,17.52,26.7,HIGH_CONT,1.118,22.0,8.0,8.09,38.1,CAUTION,OVERHEAT
2022-W27,2022.07.04,XAUUSD,52,112,46.4,821.2,19.81,34.69,0,30,0.0,0,0.0,0.0,16.80,19.49,50.0,NORMAL_FLAT,1.094,33.0,32.0,4.28,69.3,GOOD,RISING
2022-W28,2022.07.11,XAUUSD,91,115,79.1,477.9,25.81,37.12,21,30,70.0,11,36.7,477.9,27.05,41.77,86.7,NORMAL_FLAT,1.088,28.0,32.0,11.27,71.3,GOOD,NORMAL
2022-W29,2022.07.18,XAUUSD,65,115,56.5,584.6,21.83,40.53,15,30,50.0,6,20.0,186.2,23.60,40.64,16.7,NORMAL_FLAT,1.070,10.0,32.0,8.46,50.5,WATCH,SCORE_FALL
2022-W30,2022.07.25,XAUUSD,45,115,39.1,426.0,22.00,40.87,0,30,0.0,0,0.0,0.0,13.60,19.74,33.3,NORMAL_FALL,0.972,22.0,15.0,8.02,45.0,WATCH,NORMAL
2022-W31,2022.08.01,XAUUSD,39,115,33.9,344.2,21.06,45.21,23,30,76.7,0,0.0,406.3,22.77,26.46,63.3,NORMAL_FLAT,0.926,40.0,32.0,13.26,85.3,OPTIMAL,OPTIMAL
2022-W32,2022.08.08,XAUUSD,47,115,40.9,290.7,20.11,34.54,17,30,56.7,0,0.0,373.5,19.40,23.67,30.0,BOTTOM,0.746,22.0,25.0,6.39,53.4,WATCH,SCORE_FALL
2022-W33,2022.08.15,XAUUSD,95,115,82.6,561.6,26.52,37.35,0,30,0.0,0,0.0,0.0,12.85,15.46,40.0,BOTTOM,0.733,25.0,25.0,5.39,55.4,WATCH,BOTTOM_WAIT
2022-W34,2022.08.22,XAUUSD,89,115,77.4,376.6,27.41,45.83,9,30,30.0,0,0.0,263.2,18.38,23.92,50.0,BOTTOM_TURN,0.796,33.0,28.0,8.67,69.7,GOOD,RISING
2022-W35,2022.08.29,XAUUSD,102,115,88.7,566.5,30.85,47.03,16,30,53.3,7,23.3,376.9,23.86,35.78,73.3,NORMAL_FLAT,0.902,40.0,32.0,12.37,84.4,OPTIMAL,OPTIMAL
2022-W36,2022.09.05,XAUUSD,63,113,55.8,380.4,21.78,35.78,9,30,30.0,0,0.0,353.7,18.88,28.53,20.0,NORMAL_RISE,1.055,22.0,5.0,5.65,32.7,CAUTION,OVERHEAT
2022-W37,2022.09.12,XAUUSD,53,115,46.1,810.2,21.69,40.64,8,30,26.7,0,0.0,368.3,17.90,28.73,56.7,HIGH_CONT,1.175,33.0,8.0,7.84,48.8,WATCH,RISING
2022-W38,2022.09.19,XAUUSD,24,115,20.9,164.4,16.68,26.49,24,30,80.0,0,0.0,482.2,24.55,29.42,33.3,PEAK_CONT,1.667,22.0,18.0,6.50,46.5,WATCH,NORMAL
2022-W39,2022.09.26,XAUUSD,53,115,46.1,595.2,21.21,32.81,26,30,86.7,0,0.0,504.1,23.80,28.37,43.3,HIGH_FALL,1.213,25.0,13.0,7.69,45.7,WATCH,NORMAL
