Week,WeekStart,Symbol,H1_Bars_Above20,H1_Total_Bars,H1_Pct_Above20,H1_Range_Pips,H1_AvgADX,H1_MaxADX,H4_Bars_Above20,H4_Total_Bars,H4_Pct_Above20,H4_Bars_Above30,H4_Pct_Above30,H4_Range_Pips,H4_AvgADX,H4_MaxADX,ADX_Score_v1,H4_Vel_Pos_Pct,ATR_Ratio,ATR_Phase,Score_Axis_A,Score_Axis_B,Score_Axis_C,ADX_Score_v3,Score_Band_v3
2022-W01,2022.01.03,XAUUSD,66,115,57.4,,27.03,,,30,0.0,,0.0,,13.11,,51.6,52.0,1.0,NORMAL_FLAT,33.0,32.0,4.6,69.6,GOOD
2022-W02,2022.01.10,XAUUSD,62,115,53.9,,31.97,,,30,0.0,,0.0,,17.51,,60.1,56.7,0.848,BOTTOM_CONT,33.0,35.0,9.0,77.0,OPTIMAL
2022-W03,2022.01.17,XAUUSD,36,113,31.9,,23.69,,,30,0.0,,0.0,,14.38,,43.0,33.3,1.0,NORMAL_RISE,22.0,5.0,2.4,29.4,CAUTION
2022-W04,2022.01.24,XAUUSD,61,115,53.0,,27.22,,,30,0.0,,0.0,,17.67,,55.4,56.7,1.216,HIGH_CONT,33.0,8.0,6.0,47.0,WATCH
2022-W05,2022.01.31,XAUUSD,58,115,50.4,,23.02,,,30,0.0,,0.0,,22.65,,48.1,30.0,0.918,NORMAL_FALL,22.0,15.0,5.6,42.6,CAUTION
2022-W06,2022.02.07,XAUUSD,84,115,73.0,,29.0,,,30,0.0,,0.0,,20.6,,60.7,60.0,1.124,HIGH_CONT,40.0,8.0,8.5,56.5,WATCH
2022-W07,2022.02.14,XAUUSD,78,115,67.8,,32.34,,,30,0.0,,0.0,,26.44,,74.8,80.0,1.137,HIGH_CONT,40.0,8.0,13.5,61.5,GOOD
2022-W08,2022.02.21,XAUUSD,59,113,52.2,,25.86,,,30,0.0,,0.0,,36.6,,69.8,53.3,2.249,PEAK_CONT,33.0,18.0,14.2,65.2,GOOD
2022-W09,2022.02.28,XAUUSD,39,115,33.9,,27.24,,,30,0.0,,0.0,,24.27,,58.5,46.7,1.317,PEAK_FALL,25.0,12.0,9.2,46.2,WATCH
2022-W10,2022.03.07,XAUUSD,60,115,52.2,,26.56,,,30,0.0,,0.0,,37.21,,71.0,53.3,1.957,PEAK_CONT,33.0,18.0,14.9,65.9,GOOD
2022-W11,2022.03.14,XAUUSD,94,115,81.7,,36.28,,,30,0.0,,0.0,,34.04,,78.0,53.3,1.114,HIGH_FALL,33.0,13.0,19.7,65.7,GOOD
2022-W12,2022.03.21,XAUUSD,46,115,40.0,,24.5,,,30,0.0,,0.0,,25.81,,50.5,23.3,0.888,BOTTOM_CONT,22.0,35.0,8.1,65.1,GOOD
2022-W13,2022.03.28,XAUUSD,71,115,61.7,,24.43,,,30,0.0,,0.0,,14.59,,41.9,26.7,0.916,NORMAL_FLAT,22.0,32.0,2.9,56.9,WATCH
2022-W14,2022.04.04,XAUUSD,2,115,1.7,,20.18,,,30,0.0,,0.0,,10.36,,41.4,40.0,0.735,BOTTOM,25.0,25.0,0.1,50.1,WATCH
2022-W15,2022.04.11,XAUUSD,10,92,10.9,,20.35,,,24,0.0,,0.0,,24.54,,65.6,95.8,0.806,BOTTOM_TURN,15.0,28.0,4.8,47.8,WATCH
2022-W16,2022.04.18,XAUUSD,59,115,51.3,,25.05,,,30,0.0,,0.0,,26.38,,54.4,33.3,0.96,NORMAL_FLAT,22.0,32.0,8.7,62.7,GOOD
2022-W17,2022.04.25,XAUUSD,70,115,60.9,,33.84,,,30,0.0,,0.0,,39.73,,86.1,73.3,1.047,NORMAL_RISE,40.0,5.0,20.9,65.9,GOOD
2022-W18,2022.05.02,XAUUSD,60,115,52.2,,28.38,,,30,0.0,,0.0,,28.12,,56.5,23.3,1.364,PEAK_CONT,22.0,18.0,11.7,51.7,WATCH
2022-W19,2022.05.09,XAUUSD,70,115,60.9,,27.5,,,30,0.0,,0.0,,20.88,,63.2,73.3,1.101,HIGH_FALL,40.0,13.0,7.7,60.7,GOOD
2022-W20,2022.05.16,XAUUSD,74,115,64.3,,24.68,,,30,0.0,,0.0,,22.68,,47.0,20.0,0.872,BOTTOM_CONT,22.0,35.0,6.7,63.7,GOOD
2022-W21,2022.05.23,XAUUSD,68,115,59.1,,28.6,,,30,0.0,,0.0,,17.24,,53.6,46.7,0.85,BOTTOM_CONT,25.0,35.0,6.7,66.7,GOOD
2022-W22,2022.05.30,XAUUSD,44,112,39.3,,25.29,,,30,0.0,,0.0,,16.25,,46.7,36.7,0.8,BOTTOM_CONT,22.0,35.0,4.0,61.0,GOOD
