vline_id,time,prev_gap_bars,next_gap_bars,prev_gap_days,next_gap_days,name
1,2025.01.06 02:00,-1,30,-1,1,H1 Vertical Line 55548
2,2025.01.07 11:00,30,43,1,2,H1 Vertical Line 12616
3,2025.01.09 12:00,43,18,2,0,H1 Vertical Line 5960
4,2025.01.10 09:00,18,62,0,4,H1 Vertical Line 9046
5,2025.01.15 08:00,62,23,4,1,H1 Vertical Line 21960
6,2025.01.16 10:00,23,21,1,1,H1 Vertical Line 28308
7,2025.01.17 10:00,21,13,1,2,H1 Vertical Line 22568
8,2025.01.20 01:00,13,5,2,0,H1 Vertical Line 7360
9,2025.01.20 07:00,5,75,0,3,H1 Vertical Line 8974
10,2025.01.23 19:00,75,4,3,0,H1 Vertical Line 10314
11,2025.01.24 01:00,4,49,0,4,H1 Vertical Line 50648
12,2025.01.28 09:00,49,19,4,0,H1 Vertical Line 44892
13,2025.01.29 07:00,19,11,0,0,H1 Vertical Line 43612
14,2025.01.29 18:00,11,107,0,7,H1 Vertical Line 58638
15,2025.02.05 20:00,107,93,7,6,H1 Vertical Line 14352
16,2025.02.12 08:00,93,7,6,0,H1 Vertical Line 41154
17,2025.02.12 15:00,7,2495,0,168,H1 Vertical Line 57950
18,2025.07.30 15:00,2495,41,168,1,H1 Vertical Line 40246
19,2025.08.01 14:00,41,41,1,3,H1 Vertical Line 43318
20,2025.08.05 13:00,41,42,3,2,H1 Vertical Line 34760
21,2025.08.07 13:00,42,1112,2,74,H1 Vertical Line 43542
22,2025.10.21 12:00,1112,2559,74,175,H1 Vertical Line 56928
23,2026.04.14 19:00,2559,111,175,7,H1 Vertical Line 44544
24,2026.04.22 04:00,111,235,7,15,H1 Vertical Line 39364
25,2026.05.07 08:00,235,99,15,6,H1 Vertical Line 5326
26,2026.05.14 02:00,99,-1,6,-1,H1 Vertical Line 39482
