約定日,決済日,通貨ペア,オーダー,新規レート,決済レート,pips,スタイル,ロット,損益,評価,反省,新規理由,決済理由,考察
2026/03/17 13:00,,XAUUSD,買い,5020.000,4980.000,-4000.0,デイトレ,0.01,-6000,3,"","あげそうかな？と思い入ってみた。完全なる反転狙い。
しかし、やはり伸びなかった。RPDの反応より、フェーズ判断が大事だと改めて実感。ADX13,方向性なし。","ADX 13.65
DI + 17.84
DI - 18.66
ATR16.6",""
2026/03/19 13:47,2026/03/19 14:33,XAUUSD,売り,4657.000,4584.000,7300.0,デイトレ,0.02,12000,5,"","大暴落中の相乗り。これは今のタイミングだけだろう。かなり優位性ありと判断。","ADX 37.8
DI M+ 8.79
DI- 34.04
ATR 57.48",""
2026/03/20 01:04,2026/03/20 03:40,XAUUSD,売り,4642.000,4684.000,-4200.0,デイトレ,0.04,-26000,1,"","まだ、早いと思いつつ入った失敗例。アラート頼りによっていって内容が良くても良いタイミングまで待てない癖が出てきてる。アプリを隠すアプリを買ったのでしっかり待つこと。今回も16時以降のいい場所があればエントリーにしていれば勝ちを拾えた内容。","ADX43.57
DI + 13.64
DI -22.16
ATR 44.56","エントリー早すぎ失敗"
2026/03/23 00:05,2026/03/23 00:21,XAUUSD,売り,4473.000,4523.000,-5000.0,デイトレ,0.01,-12000,1,"","週明けトレード　拡張末期　もしくは戻しでやられてる。
最近は東京時間に良い流れが来ないから、ヨーロッパ時間あたりをせめるのもいいかもしれない。","ADX 22.9
DI 13.5
DI- 26.5
ATR 56
",""
2026/03/23 03:58,2026/03/23 05:08,XAUUSD,売り,4391.000,4370.000,2100.0,デイトレ,0.02,6000,2,"","BU 下落　PD入り後の方向性決めっぽい感じも。","ADX 26.75
DI+ 10
DI-20
ATR 80
","決済は12時のため優位性時間ではないと判断。"
2026/03/23 09:58,,XAUUSD,売り,4490.000,4410.000,8000.0,デイトレ,0.02,24000,1,"","Sl
狩られた後のエントリー。即出金。
一旦拡張終了の見極めも必要ではないか？
とりあえず月火くらいまでは長く間を持って観察していきたい。拡張継続かもしくは戻しか。","ADX 21.12
DI+ 14.32
DI- 24.32
ATR50.98
",""
2026/03/24 00:00,,XAUUSD,売り,1.000,1.000,0.0,スキャル,0.02,0,4,"","押し目展開狙い。前日強めの戻しがあってMa付近での揉み合い後、登るパターン。
一旦の下落拡張が、落ち着いたから再度下落拡張待ちをするか、もしくはレンジ構築期を挟んでからのロング目線に切り替えるかの場面。素直に下げるかレンジからあげるだろうと言うことでロンドンショート、21:30で建て値設定。その後うまく建値がかり。","ADX 15.47
DI+ 24.15
DI- 16.29
ATR 47.8","拡張終盤。トレンド転換にも注意。"
2026/03/25 12:07,2026/03/25 19:33,XAUUSD,買い,4558.000,4558.000,0.0,スキャル,0.01,0,5,"","前日にadx20オーバーの反転兆し。
レンジ内での順張りだが上がらず。
途中起きた時に見ると良くないレンジなので建て値設定。その後slの位置まで下がる。","ADX 15.62
DI+ 16.69
DI- 17.31
ATR 26.57
","建て値成功。slまで後退。回収期の動きに強い。"
2026/03/26 01:36,2026/03/26 03:05,XAUUSD,売り,4499.000,4534.000,-3500.0,デイトレ,0.01,-6000,1,"その他","
売りで入ったものの、上げにADXが反応して61.8の反発か？と思ってしまった。シグナルが逆向きに反応することもある。","ADX 19.8
DI+ 8
DI- 22.
ATR 36
",""
2026/03/26 03:00,2026/03/26 05:24,XAUUSD,買い,4538.000,4500.000,-3800.0,デイトレ,0.01,-6000,2,"その他","往復ビンタ。最悪のパターン。","ADX 20
di+ 13
di- 18
ATR36","前日の同じ時間に反応していた急騰ロング側へADXが反応して、間違えた。素直に最初の向きで打っておけばかなりいいポイントまで勝てたはず。"
2026/03/26 09:06,2026/03/27 00:02,XAUUSD,売り,4447.000,4382.000,6500.0,デイトレ,0.01,12000,4,"その他","BU終盤　下落波

ADX25のアラートが鳴って素直にショート。
時間はかかったが無事値動きは展開して翌朝利確。
シンプルで良い。アラートのみの戦略の方が勝率が高いかもしれない。アラートと損切りしないslレベルで拡張フェーズの中で値動きが展開するのを待つ。","ADX 25.21
DI+ 12
DI- 26
ATR 35
",""
2026/03/27 03:36,2026/03/27 07:35,XAUUSD,売り,4414.000,4465.000,-5100.0,デイトレ,0.02,-16800,2,"その他","エントリー感覚短い。置いても良い場面。
暇エントリーをおそれたエントリーになってないか？
今週のトレードはかなり多い。
10:30反転といいつつも、内容的には反転っぽくもない。早めに撤退しても良い場面。","ADX 25 
DI+ 10
DI- 17
ATR 42","拡張終盤"
2026/03/30 12:02,2026/03/31 03:20,XAUUSD,買い,4540.000,4486.000,-5400.0,デイトレ,0.01,-8500,4,"その他","ADX20超え","ADX 20
DI+ 27
DI- 12
ATR 21.62
","ロンドン時間、アラート。伸び切らない。"
2026/03/31 23:15,2026/04/01 22:55,XAUUSD,買い,4681.000,4768.000,8700.0,デイトレ,0.01,14000,1,"その他","前日ロスカット後も上げてきて、上昇の流れが出来始めていたアラートトレード。まだ上がりそうだが、とりあえず、一旦利確と明日も雇用統計なので、しっかりその後に備える。","ADX 20
DI+ 28
DI- 10
ATR 29",""
2026/04/06 12:02,2026/04/07 04:52,XAUUSD,買い,4699.000,4624.000,-7500.0,デイトレ,0.02,-24000,4,"その他","アラートポジション（前日発火）　追随しようとしたようにも見える","","ロンドンタイム　拡張押し目割れ　"
2026/04/08 01:43,2026/04/08 03:19,XAUUSD,買い,4776.000,4829.000,5300.0,デイトレ,0.01,9000,1,"PAT-B","前日PATB発火　オープン前に乗れてたらもっと伸びてたかも","","ボラ乗り"
2026/04/14 10:06,2026/04/14 13:39,XAUUSD,買い,4793.000,4752.000,-4100.0,デイトレ,0.01,-7000,4,"その他","ADX入りかな？　反応をかられてる","",""
2026/04/16 13:46,2026/04/17 02:28,XAUUSD,売り,4800.000,4800.000,0.0,スキャル,0.01,0,5,"その他","アラートトレード　AUDUSD側でのアラートカバー","","建値"
2026/04/20 06:37,2026/04/21 17:40,XAUUSD,買い,4791.000,4749.000,-4200.0,デイトレ,0.01,-7000,3,"その他","シグナルPATB（旧シグナル）
翌日も0.8くらいの伸び。
伸びが弱い。もう一段下げて、pat C?
ボラパターン形成(否定買い)の形。
押しがそんなに強くないからエントリーしていく。","","凪離脱　ATR高い28"
2026/04/21 23:46,2026/04/22 23:21,XAUUSD,買い,4710.000,4710.000,0.0,スキャル,0.02,5000,1,"PAT-C","伸び切らないパターン。
24時間ホールドで戻ってきたので一旦閉じる。","","転換予兆のエリア"
2026/04/28 09:50,2026/04/28 14:17,XAUUSD,売り,4628.000,4566.000,6200.0,デイトレ,0.01,10000,4,"その他","下げ始めがお昼で時間帯が悪く、結果PFが落ちたパターン。しょうがない。
DI構造の変化より価格が下に行く。
本当は4730くらいで売りを狙えたから、かなり売り目線の照準があってきてる感覚もある。

ATR底打ち感あり　　前日PATーA","","ATR11で底打ち感あり　乗り遅れの小さいBO"
2026/05/06 01:58,2026/05/06 12:09,XAUUSD,買い,4569.000,4695.000,12600.0,デイトレ,0.03,59000,1,"PAT-A","下落トレンド上抜け可能性
金星（H4 ADX 30で反応）
ATRボトムアウト","","8:00-18:30  ADX35到達で利確"
2026/05/11 01:17,2026/05/11 06:14,XAUUSD,買い,4690.000,4690.000,0.0,スキャル,0.01,0,1,"その他","シグナル外トレード。ES翌。
午前中手仕舞い。","翌日雇用統計　早めの手仕舞い　窓埋め期待もあったが埋まらず","凪離脱"
2026/05/12 11:48,2026/05/12 18:22,XAUUSD,買い,4704.000,4654.000,-5000.0,デイトレ,0.01,-7000,4,"ATR収束底","シグナル外トレード。MA.ATR.FIBOのバランスがいいと思ったけどダメ。　ATRが直近収束底だけど17あたり。この辺りはノイズ地帯になった。","","凪離脱　　　ATRが収束底に見えて中途半端な状態　レンジ"
2026/05/14 01:33,2026/05/14 23:35,XAUUSD,買い,4696.000,4647.000,-4900.0,デイトレ,0.04,-17000,5,"ATR収束底","ATRヨシ、ma.fiboヨシ、
ノーシグナル、ADX低い、
方向期待値薄い、タイミング期待値はまだok

問題はここで厚めのロット張ったこと。(100%bonus)
口座を分けていいから、ここは薄めで勝負すべきだった。

エントリー後PATB SELL 発火
TOPUP100％ボーナスあり","","収束底、エントリー後PATB逆方向発火。日足レベルではまだ下げ目線なので薄めロットか反転売り対応でもいいかも（今後もシグナルトレードとしてブレないために）ただし、シグナル未確認なので悪評価はしない。
"
2026/05/20 15:15,2026/05/20 18:16,XAUUSD,売り,4500.000,4560.000,-6000.0,デイトレ,0.01,-3000,5,"PAT-D","ATRok
とはいえ、17だから、少し高いかも。トレンド転換注意
ADX(115)DIクロス","","凪離脱
"
2026/05/21 01:25,2026/05/26 05:26,XAUUSD,売り,4536.000,4536.000,0.0,スキャル,0.01,0,1,"PAT-D","エントリー後にPATーD。ATRがなかなかベストな状態まで落ちない環境が続く。そして窓開けでマージンコールもあり。","","窓あけマージンコール。シナリオ崩れで建値狙いに変更。"
2026/05/26 07:06,2026/05/27 14:03,XAUUSD,売り,4539.000,4450.000,8900.0,デイトレ,0.01,14000,3,"PAT-A","入り直し。h4ATRでの底打ちが見えたから。次はh1ATR底打ちのみ入れるチャンス。エントリー後にPATーA発火。","",""
2026/05/29 01:02,2026/05/29 17:05,XAUUSD,売り,4498.000,4549.000,-5100.0,デイトレ,0.01,-21000,1,"PAT-B","rising-decel
強いて言えば、昨日強めの戻しがあったこと。でもrising-decelは狙う。にしても、今月は少ないチャンスでよくやった！","","TOPUPボーナス100％、　ATRは少し高水準だけどいいラインまで帰った後に上抜けしてるのでロスポジション"
