vline_id,time,prev_gap_bars,next_gap_bars,prev_gap_days,next_gap_days,name
1,2024.12.23 16:00,-1,43,-1,11,H4 Vertical Line 844
2,2025.01.03 20:00,43,354,11,83,H4 Vertical Line 22556
3,2025.03.27 20:00,354,64,83,14,H4 Vertical Line 20180
4,2025.04.11 12:00,64,27,14,9,H4 Vertical Line 15096
5,2025.04.21 00:00,27,532,9,122,H4 Vertical Line 13478
6,2025.08.21 20:00,532,268,122,62,H4 Vertical Line 16196
7,2025.10.23 12:00,268,270,62,64,H4 Vertical Line 25102
8,2025.12.26 12:00,270,59,64,16,H4 Vertical Line 62658
9,2026.01.12 00:00,59,40,16,8,H4 Vertical Line 27990
10,2026.01.20 16:00,40,61,8,14,H4 Vertical Line 46466
11,2026.02.03 20:00,61,47,14,9,H4 Vertical Line 57814
12,2026.02.13 16:00,47,59,9,13,H4 Vertical Line 27814
13,2026.02.27 12:00,59,41,13,10,H4 Vertical Line 11978
14,2026.03.10 08:00,41,39,10,8,H4 Vertical Line 41106
15,2026.03.18 20:00,39,28,8,6,H4 Vertical Line 31728
16,2026.03.25 12:00,28,34,6,7,H4 Vertical Line 11198
17,2026.04.02 04:00,34,64,7,15,H4 Vertical Line 34908
18,2026.04.17 20:00,64,-1,15,-1,H4 Vertical Line 32646
