iso_week,week_monday,h4_pattern,adx46,adx46_above20,di_plus,di_minus,di_dir,di_spread,atr8,atr46,atr8_46_ratio,atr_class,price_vs_ma46
2023-W10,2023.03.06,BU,12.69,FALSE,26.27,15.29,UP,10.97,10.8462,7.3687,1.472,EXPAND,ABOVE
2023-W11,2023.03.13,BU,22.34,TRUE,31.42,11.45,UP,19.97,14.0012,12.5891,1.112,EXPAND,ABOVE
2023-W12,2023.03.20,-,23.69,TRUE,23.38,16.77,UP,6.61,12.7412,14.4376,0.883,CONTRACT,ABOVE
2023-W13,2023.03.27,-,10.55,FALSE,20.21,20.22,DOWN,-0.01,9.6175,10.7683,0.893,CONTRACT,BELOW
2023-W14,2023.04.03,-,8.84,FALSE,18.46,20.57,DOWN,-2.11,9.7962,9.9950,0.980,NEUTRAL,ABOVE
2023-W15,2023.04.10,-,14.04,FALSE,18.79,16.62,UP,2.17,14.5563,11.5635,1.259,EXPAND,BELOW
2023-W16,2023.04.17,-,9.55,FALSE,13.35,19.67,DOWN,-6.32,11.2563,11.9215,0.944,NEUTRAL,BELOW
2023-W17,2023.04.24,-,6.67,FALSE,17.96,17.58,UP,0.38,8.8450,10.4972,0.843,CONTRACT,BELOW
2023-W18,2023.05.01,-,9.90,FALSE,19.04,19.74,DOWN,-0.70,14.0125,12.2307,1.146,EXPAND,ABOVE
2023-W19,2023.05.08,-,10.18,FALSE,16.30,18.15,DOWN,-1.85,10.5163,11.6674,0.901,NEUTRAL,BELOW
2023-W20,2023.05.15,-,16.73,FALSE,15.97,20.26,DOWN,-4.30,10.7688,9.8804,1.090,NEUTRAL,BELOW
2023-W21,2023.05.22,-,21.35,TRUE,14.62,21.87,DOWN,-7.26,8.7712,9.3513,0.938,NEUTRAL,BELOW
2023-W22,2023.05.29,-,15.90,FALSE,14.67,21.01,DOWN,-6.35,10.1675,9.3615,1.086,NEUTRAL,BELOW
2023-W23,2023.06.05,-,13.69,FALSE,16.63,17.33,DOWN,-0.70,7.0038,8.5420,0.820,CONTRACT,ABOVE
2023-W24,2023.06.12,-,7.97,FALSE,19.55,19.06,UP,0.49,9.0425,8.9696,1.008,NEUTRAL,ABOVE
2023-W25,2023.06.19,-,20.03,TRUE,15.18,22.86,DOWN,-7.68,8.9238,7.9789,1.118,EXPAND,BELOW
2023-W26,2023.06.26,-,20.30,TRUE,14.22,18.11,DOWN,-3.89,8.4000,7.9293,1.059,NEUTRAL,ABOVE
2023-W27,2023.07.03,-,11.80,FALSE,21.54,13.74,UP,7.80,7.7725,7.4243,1.047,NEUTRAL,ABOVE
2023-W28,2023.07.10,-,26.08,TRUE,19.71,10.94,UP,8.77,6.4475,7.5787,0.851,CONTRACT,ABOVE
2023-W29,2023.07.17,-,21.89,TRUE,15.64,15.61,UP,0.03,7.1412,7.3993,0.965,NEUTRAL,BELOW
2023-W30,2023.07.24,-,11.05,FALSE,19.45,14.91,UP,4.55,8.9625,7.8148,1.147,EXPAND,BELOW
2023-W31,2023.07.31,-,13.02,FALSE,14.46,17.86,DOWN,-3.41,6.8213,8.0611,0.846,CONTRACT,BELOW
2023-W32,2023.08.07,-,14.58,FALSE,15.69,17.75,DOWN,-2.06,7.0475,6.5876,1.070,NEUTRAL,BELOW
2023-W33,2023.08.14,-,17.26,FALSE,15.80,21.82,DOWN,-6.02,6.3838,6.3483,1.006,NEUTRAL,BELOW
2023-W34,2023.08.21,-,16.49,FALSE,20.32,16.86,UP,3.46,6.6488,6.4522,1.030,NEUTRAL,ABOVE
2023-W35,2023.08.28,-,22.76,TRUE,23.34,14.18,UP,9.16,6.8325,6.0943,1.121,EXPAND,ABOVE
2023-W36,2023.09.04,-,15.38,FALSE,16.81,14.79,UP,2.02,5.4763,5.1385,1.066,NEUTRAL,BELOW
