date,d1_adx22,d1_di_plus,d1_di_minus,d1_di_spread,d1_di_dir,d1_atr22,d1_atr42,d1_atr22_42_ratio,h4_adx46_max,h4_adx46_close,h4_adx46_mean,h4_di_plus_close,h4_di_minus_close,h4_di_spread_close,h4_di_dir,h4_atr8_close,h4_atr46_close,h4_atr8_46_ratio_close,h1_adx32_max,h1_adx32_close,h1_adx32_mean,h1_di_plus_close,h1_di_minus_close,h1_di_spread_close,h1_di_dir,h1_atr16_close,h1_atr32_close,h1_atr16_32_ratio_close
2026-03-05,41.88,25.89,13.36,12.53,BULL,158.9155,174.4352,0.9110,13.86,12.19,13.09,18.31,20.31,-1.99,BEAR,58.4775,62.2093,0.9400,14.33,12.70,12.71,15.08,24.47,-9.39,BEAR,29.2737,28.5569,1.0251
2026-03-06,41.01,23.64,12.20,11.44,BULL,153.3100,175.3424,0.8743,11.92,10.62,11.14,18.27,20.18,-1.91,BEAR,63.6725,63.1096,1.0089,19.04,18.25,14.93,16.75,18.89,-2.14,BEAR,29.4019,30.5237,0.9632
2026-03-07,41.01,23.64,12.20,11.44,BULL,153.3100,175.3424,0.8743,10.29,10.29,10.29,18.21,19.32,-1.11,BEAR,57.5850,63.0093,0.9139,17.58,14.46,15.94,19.66,16.41,3.26,BULL,28.3856,31.1909,0.9101
2026-03-09,39.47,21.58,13.41,8.17,BULL,149.5905,177.9902,0.8404,10.72,10.72,10.41,14.65,20.29,-5.64,BEAR,76.5850,67.0537,1.1421,13.66,8.40,11.54,15.85,16.79,-0.94,FLAT,35.6100,36.8872,0.9654
2026-03-10,38.63,22.63,12.25,10.38,BULL,140.7291,179.3426,0.7847,10.61,9.39,9.82,18.89,15.63,3.26,BULL,52.3225,69.0493,0.7578,11.38,11.38,9.98,26.43,16.66,9.77,BULL,24.2375,25.6919,0.9434
2026-03-11,37.86,20.66,11.18,9.48,BULL,138.5450,178.2264,0.7774,9.18,8.46,8.73,14.55,17.20,-2.64,BEAR,48.2450,67.2850,0.7170,14.54,14.54,11.01,12.44,21.14,-8.70,BEAR,21.3363,22.6509,0.9420
2026-03-12,35.22,18.86,16.22,2.64,BULL,140.6314,179.9279,0.7816,9.83,9.83,9.17,12.72,19.00,-6.28,BEAR,43.5025,64.2641,0.6769,22.38,17.72,18.85,11.80,23.04,-11.24,BEAR,21.9262,21.9403,0.9994
2026-03-13,32.38,17.22,18.11,-0.88,FLAT,141.4786,181.3845,0.7800,13.70,13.70,12.09,12.49,23.50,-11.01,BEAR,53.0000,55.1541,0.9609,27.68,23.81,24.79,17.07,26.79,-9.72,BEAR,23.1319,22.6469,1.0214
2026-03-14,32.38,17.22,18.11,-0.88,FLAT,141.4786,181.3845,0.7800,14.49,14.49,14.49,11.96,23.42,-11.46,BEAR,52.6037,54.9917,0.9566,24.08,24.08,23.75,15.18,27.55,-12.37,BEAR,26.0256,24.1241,1.0788
2026-03-16,30.95,15.73,21.69,-5.97,BEAR,134.6000,181.8393,0.7402,19.35,19.35,17.42,9.88,22.92,-13.04,BEAR,57.1788,55.4935,1.0304,29.44,26.10,27.49,16.10,24.03,-7.93,BEAR,26.7981,28.1666,0.9514
2026-03-17,29.43,15.10,19.80,-4.71,BEAR,130.5550,181.5295,0.7192,22.50,22.50,21.32,10.80,23.02,-12.22,BEAR,41.3225,51.3839,0.8042,26.00,14.99,19.18,15.25,22.20,-6.95,BEAR,20.5275,22.1250,0.9278
2026-03-18,29.38,13.78,24.99,-11.21,BEAR,136.0950,184.2771,0.7385,25.32,25.32,24.11,10.27,22.85,-12.58,BEAR,48.6800,48.2302,1.0093,22.28,22.28,16.07,11.44,28.63,-17.19,BEAR,26.4406,21.6225,1.2228
2026-03-19,30.39,12.59,30.07,-17.49,BEAR,145.4482,190.4090,0.7639,30.45,30.45,28.05,7.91,26.51,-18.60,BEAR,106.3025,54.6176,1.9463,37.34,37.34,28.27,10.20,32.63,-22.43,BEAR,52.8200,42.5819,1.2404
2026-03-20,31.42,11.49,28.31,-16.82,BEAR,150.0768,193.4114,0.7759,32.26,32.26,31.70,10.88,27.02,-16.14,BEAR,92.2750,57.5841,1.6024,39.96,20.47,29.52,17.26,28.45,-11.19,BEAR,41.3862,48.1800,0.8590
2026-03-21,31.42,11.49,28.31,-16.82,BEAR,150.0768,193.4114,0.7759,32.87,32.87,32.87,10.42,28.53,-18.11,BEAR,77.7712,59.1285,1.3153,20.61,20.61,20.24,15.21,24.88,-9.67,BEAR,47.3481,48.6803,0.9726
2026-03-23,33.23,10.49,33.37,-22.88,BEAR,167.1814,199.8357,0.8366,36.04,36.04,35.01,11.86,29.85,-18.00,BEAR,153.5550,75.7841,2.0262,32.13,27.02,27.48,17.38,23.98,-6.61,BEAR,100.0775,75.8350,1.3197
2026-03-24,34.87,9.58,30.47,-20.89,BEAR,169.8741,202.0879,0.8406,37.18,37.05,36.94,11.87,25.02,-13.15,BEAR,119.1437,81.0685,1.4697,26.35,12.79,17.99,21.10,17.46,3.64,BULL,51.0781,66.5316,0.7677
2026-03-25,34.36,15.34,27.82,-12.48,BEAR,170.2009,202.6643,0.8398,36.64,33.02,34.76,14.89,21.29,-6.40,BEAR,77.3400,84.3870,0.9165,16.99,10.37,13.10,16.79,17.74,-0.95,FLAT,31.9775,38.8606,0.8229
2026-03-26,34.54,14.01,30.13,-16.12,BEAR,171.7927,202.9671,0.8464,32.56,31.97,32.04,11.47,23.78,-12.31,BEAR,70.1663,87.7863,0.7993,20.98,19.25,15.61,15.04,18.08,-3.04,BEAR,35.0781,35.2181,0.9960
2026-03-27,34.56,13.34,27.51,-14.17,BEAR,175.6182,201.0255,0.8736,32.36,30.39,31.57,16.12,20.72,-4.61,BEAR,68.5537,92.5276,0.7409,21.53,15.21,18.48,22.95,16.17,6.78,BULL,31.9887,35.1647,0.9097
2026-03-28,34.56,13.34,27.51,-14.17,BEAR,175.6182,201.0255,0.8736,29.63,29.63,29.63,15.43,19.84,-4.41,BEAR,68.3562,92.9037,0.7358,15.34,13.56,14.50,17.67,16.58,1.09,BULL,32.9125,35.1044,0.9376
2026-03-30,34.16,13.54,25.11,-11.58,BEAR,179.5114,193.0631,0.9298,29.20,26.08,27.80,17.09,19.22,-2.13,BEAR,70.8375,92.0998,0.7691,18.74,18.74,14.62,20.66,13.50,7.16,BULL,33.7925,33.7144,1.0023
2026-03-31,32.51,16.89,22.93,-6.04,BEAR,183.6245,179.7964,1.0213,25.40,21.39,23.38,19.89,16.69,3.19,BULL,64.5200,87.0080,0.7415,19.78,12.06,14.73,22.57,15.13,7.44,BULL,35.1394,31.5000,1.1155
2026-04-01,29.98,22.42,20.94,1.49,BULL,182.3945,171.2971,1.0648,21.94,21.94,21.39,24.01,12.86,11.15,BULL,64.8025,81.4309,0.7958,34.53,34.53,25.03,25.81,9.61,16.20,BULL,30.2512,29.6506,1.0203
2026-04-02,27.86,20.47,22.92,-2.45,BEAR,176.1650,169.1893,1.0412,22.72,21.33,22.10,21.50,15.65,5.85,BULL,81.2112,71.7478,1.1319,37.64,21.40,31.75,19.32,17.57,1.75,BULL,48.7550,39.2653,1.2417
