date,dxy_adx56,dxy_di_plus,dxy_di_minus,dxy_di_spread,dxy_di_dir
2026-03-23,9.41,21.85,18.74,3.11,USD_UP
2026-03-24,9.16,20.34,17.61,2.73,USD_UP
2026-03-25,12.04,21.58,13.96,7.62,USD_UP
2026-03-26,21.15,21.58,12.65,8.93,USD_UP
2026-03-27,24.10,19.85,12.25,7.60,USD_UP
2026-03-28,25.12,20.42,10.67,9.76,USD_UP
2026-03-30,26.95,25.17,11.51,13.66,USD_UP
2026-03-31,29.22,20.41,16.41,4.00,USD_UP
2026-04-01,20.85,11.59,19.96,-8.37,USD_DN
2026-04-02,16.85,19.08,18.39,0.69,USD_UP
2026-04-03,12.85,19.56,15.73,3.82,USD_UP
2026-04-04,12.78,18.87,15.18,3.69,USD_UP
2026-04-06,10.64,16.04,20.27,-4.22,USD_DN
2026-04-07,7.48,17.95,21.23,-3.28,USD_DN
2026-04-08,19.23,10.41,22.57,-12.17,USD_DN
2026-04-09,13.42,16.02,18.70,-2.68,USD_DN
2026-04-10,10.78,16.83,21.09,-4.25,USD_DN
2026-04-11,9.88,17.71,18.78,-1.07,USD_DN
2026-04-13,9.05,13.31,20.24,-6.93,USD_DN
2026-04-14,27.43,7.99,27.92,-19.93,USD_DN
2026-04-15,34.33,10.28,23.44,-13.16,USD_DN
2026-04-16,25.97,22.36,19.91,2.44,USD_UP
2026-04-17,15.48,16.61,23.17,-6.56,USD_DN
2026-04-18,13.75,24.61,18.70,5.91,USD_UP
2026-04-20,11.72,20.72,21.78,-1.06,USD_DN
2026-04-21,8.94,18.54,17.65,0.89,USD_UP
2026-04-22,12.24,18.39,12.52,5.88,USD_UP
2026-04-23,24.15,22.67,12.53,10.13,USD_UP
2026-04-24,26.99,18.51,15.77,2.74,USD_UP
2026-04-25,22.43,15.40,16.81,-1.41,USD_DN
2026-04-27,17.65,15.57,20.36,-4.79,USD_DN
2026-04-28,16.05,21.87,13.60,8.26,USD_UP
2026-04-29,19.43,21.67,11.56,10.11,USD_UP
2026-04-30,21.57,19.05,19.87,-0.82,USD_DN
2026-05-01,13.77,15.17,23.10,-7.93,USD_DN
2026-05-02,12.35,21.33,18.65,2.68,USD_UP
2026-05-04,11.12,19.60,15.52,4.08,USD_UP
2026-05-05,15.93,20.97,16.70,4.27,USD_UP
2026-05-06,11.27,18.85,20.17,-1.32,USD_DN
2026-05-07,7.34,17.50,18.53,-1.03,USD_DN
2026-05-08,10.02,15.01,20.97,-5.96,USD_DN
2026-05-09,11.90,12.12,20.57,-8.45,USD_DN
2026-05-11,9.54,17.52,21.45,-3.92,USD_DN
2026-05-12,12.28,21.81,12.81,9.00,USD_UP
2026-05-13,19.00,24.92,13.21,11.71,USD_UP
2026-05-14,18.81,21.42,12.34,9.08,USD_UP
2026-05-15,34.56,29.01,10.38,18.64,USD_UP
2026-05-16,36.65,26.85,11.29,15.57,USD_UP
2026-05-18,31.28,21.66,16.67,4.99,USD_UP
2026-05-19,28.72,27.78,12.29,15.49,USD_UP
2026-05-20,29.34,22.25,14.87,7.38,USD_UP
2026-05-21,24.51,23.11,12.03,11.08,USD_UP
2026-05-22,25.02,21.31,13.59,7.72,USD_UP
2026-05-23,22.69,20.84,15.08,5.76,USD_UP
2026-05-25,15.05,17.08,16.71,0.37,USD_UP
2026-05-26,12.69,23.29,15.07,8.22,USD_UP
2026-05-27,9.62,20.12,17.78,2.34,USD_UP
2026-05-28,8.59,19.16,22.95,-3.79,USD_DN
2026-05-29,7.79,17.15,23.58,-6.42,USD_DN
2026-05-30,8.72,19.19,21.57,-2.38,USD_DN
2026-06-01,7.42,21.63,17.98,3.64,USD_UP
2026-06-02,7.60,18.00,20.61,-2.61,USD_DN
2026-06-03,8.70,23.50,16.13,7.37,USD_UP
2026-06-04,11.09,18.76,20.93,-2.18,USD_DN
2026-06-05,10.16,22.58,19.87,2.71,USD_UP
2026-06-06,11.51,23.60,16.82,6.78,USD_UP
2026-06-08,11.64,21.61,19.04,2.57,USD_UP
2026-06-09,11.29,18.62,25.15,-6.53,USD_DN
2026-06-10,11.51,15.39,21.52,-6.13,USD_DN
2026-06-11,11.09,23.32,15.89,7.43,USD_UP
2026-06-12,13.72,21.97,15.88,6.09,USD_UP
2026-06-13,14.11,21.56,14.28,7.28,USD_UP
2026-06-15,10.18,20.02,18.42,1.60,USD_UP
2026-06-16,12.66,19.62,17.57,2.05,USD_UP
2026-06-17,11.15,22.62,13.16,9.46,USD_UP
2026-06-18,18.16,24.77,14.54,10.23,USD_UP
2026-06-19,25.65,24.28,15.83,8.46,USD_UP
2026-06-20,23.92,21.05,18.05,3.00,USD_UP
2026-06-22,19.33,23.85,18.90,4.95,USD_UP
2026-06-23,18.80,23.91,14.74,9.16,USD_UP
2026-06-24,27.76,25.36,9.67,15.69,USD_UP
2026-06-25,23.95,22.65,18.92,3.73,USD_UP
2026-06-26,15.65,21.00,21.21,-0.21,USD_DN
2026-06-27,13.18,19.19,17.12,2.07,USD_UP
2026-06-29,11.73,13.99,21.24,-7.25,USD_DN
2026-06-30,10.76,18.82,21.58,-2.77,USD_DN
2026-07-01,10.86,21.94,15.68,6.26,USD_UP
2026-07-02,11.21,19.42,20.19,-0.78,USD_DN
2026-07-03,8.91,20.49,19.07,1.42,USD_UP
2026-07-04,8.59,18.82,16.53,2.29,USD_UP
2026-07-06,17.06,20.92,10.01,10.91,USD_UP
2026-07-07,11.21,17.02,14.56,2.46,USD_UP
2026-07-08,11.33,18.01,15.54,2.47,USD_UP
2026-07-09,8.52,15.56,19.45,-3.89,USD_DN
2026-07-10,7.95,19.84,17.32,2.53,USD_UP
2026-07-11,8.13,23.01,16.44,6.57,USD_UP
2026-07-13,10.95,25.46,17.71,7.75,USD_UP
2026-07-14,11.90,18.54,20.57,-2.04,USD_DN
2026-07-15,8.27,18.89,20.57,-1.68,USD_DN
2026-07-16,8.53,20.63,17.87,2.76,USD_UP
2026-07-17,9.73,18.45,16.09,2.36,USD_UP
2026-07-18,9.52,16.63,14.37,2.26,USD_UP
2026-07-20,8.14,18.95,17.61,1.33,USD_UP
