fire_id,date,time_jst,time_server,pattern,direction,entry_price,h1_atr16,h1_atr32,h1_atr_median,h1_atr_ratio,atr_zone,h1_pair,h1_pair_state,h1_pattern,h1_vel3,h1_accel,h1_adx32,h1_adx_zone,h1_di_plus,h1_di_minus,h1_di_spread,h1_ma,h1_ma_dist,h4_atr8,h4_atr46,h4_pair,h4_pair_state,h4_adx46,h4_adx_zone,h4_di_plus,h4_di_minus,h4_di_spread,h4_cross_bars,h4_cross_dir,d1_atr22,d1_atr42,d1_adx22,d1_di_plus,d1_di_minus,d1_di_dir,cross_dir,d1_cross_bars,f1_none_sell,f2_patb_midh_sell,f3_patd_pd_buy,f4_patc_up_none_midh,f5_patb_up_bu_midh,f6_patc_up_pd_midh,f7_tight_sell,f8_patc_none_sell,f9_pata_weakup_sell,pass_all,mfe_12h,mae_12h,mfe_24h,mae_24h,mfe_36h,mae_36h,mfe_48h,mae_48h,mfe_bar_idx_48h,mae_bar_idx_48h,bars_traced
1,2025-03-08,2025-03-08 01:00,2025-03-07 19:00,PatB,BUY,2908.030,8.916,8.898,6.912,1.2899,NORMAL,1.0019,NEUTRAL,RISING_DECEL,11.73,-17.14,9.83,LOW,13.54,17.70,-4.16,2913.843,-0.653,16.860,17.167,0.9821,NEUTRAL,9.79,LOW,16.75,16.69,0.06,0,DOWN,42.205,37.265,35.04,20.63,12.55,UP,BU,19,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10.200,6.060,10.200,25.260,10.200,27.900,13.950,27.900,43,26,48
2,2025-03-10,2025-03-10 21:00,2025-03-10 15:00,PatA,SELL,2903.390,8.084,8.482,6.994,1.1559,NORMAL,0.9532,NEUTRAL,RISING_DECEL,10.20,-9.22,11.23,LOW,13.51,18.11,-4.60,2909.729,-0.747,14.905,17.033,0.8751,CONTRACT,8.71,LOW,15.93,17.94,-2.01,5,DOWN,42.157,37.633,32.91,18.84,15.25,UP,BU,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,23.260,7.100,23.260,18.590,23.260,18.590,23.260,25.820,6,48,48
3,2025-03-10,2025-03-10 22:00,2025-03-10 16:00,PatA,SELL,2908.150,8.259,8.518,7.009,1.1783,NORMAL,0.9696,NEUTRAL,RISING_DECEL,8.62,-8.87,11.31,LOW,13.25,17.01,-3.76,2909.633,-0.174,16.464,17.423,0.9450,CONTRACT,8.82,LOW,15.25,19.13,-3.88,6,DOWN,42.157,37.633,32.91,18.84,15.25,UP,BU,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,28.020,2.340,28.020,13.830,28.020,13.830,28.020,30.860,5,48,48
4,2025-03-13,2025-03-13 01:00,2025-03-12 19:00,PatA,BUY,2936.120,7.365,6.398,7.059,1.0433,NORMAL,1.1511,EXPAND,RISING_DECEL,8.47,-15.01,22.51,MID,29.86,11.85,18.01,2916.971,2.993,13.351,15.842,0.8428,CONTRACT,9.51,LOW,20.04,14.43,5.60,18,DOWN,41.460,37.756,30.60,21.08,12.71,UP,BU,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,10.960,5.340,49.110,5.340,57.740,5.340,68.760,5.340,39,3,48
5,2025-03-13,2025-03-13 22:00,2025-03-13 16:00,PatC,BUY,2969.930,7.247,7.305,7.078,1.0238,NORMAL,0.9920,NEUTRAL,EXPANDING,33.06,33.42,23.27,MID,25.89,14.43,11.46,2936.372,4.594,16.563,15.903,1.0415,NEUTRAL,12.98,LOW,24.42,12.23,12.19,0,UP,41.258,38.665,31.38,26.77,11.61,UP,BU,23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,22.910,3.640,34.950,3.640,34.950,3.640,34.950,3.640,19,1,48
6,2025-03-13,2025-03-13 22:00,2025-03-13 16:00,PatD,BUY,2969.930,7.247,7.305,7.078,1.0238,NORMAL,0.9920,NEUTRAL,EXPANDING,33.06,33.42,23.27,MID,25.89,14.43,11.46,2936.372,4.594,16.563,15.903,1.0415,NEUTRAL,12.98,LOW,24.42,12.23,12.19,0,UP,41.258,38.665,31.38,26.77,11.61,UP,BU,23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,22.910,3.640,34.950,3.640,34.950,3.640,34.950,3.640,19,1,48
7,2025-03-13,2025-03-13 23:00,2025-03-13 17:00,PatC,BUY,2977.800,7.703,7.371,7.078,1.0883,NORMAL,1.0450,NEUTRAL,EXPANDING,35.90,28.05,23.96,MID,27.99,13.55,14.44,2938.883,5.280,16.563,15.903,1.0415,NEUTRAL,12.98,LOW,24.42,12.23,12.19,0,UP,41.258,38.665,31.38,26.77,11.61,UP,BU,23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,16.060,1.440,27.080,1.440,27.080,1.440,27.080,1.440,18,2,48
8,2025-03-13,2025-03-13 23:00,2025-03-13 17:00,PatD,BUY,2977.800,7.703,7.371,7.078,1.0883,NORMAL,1.0450,NEUTRAL,EXPANDING,35.90,28.05,23.96,MID,27.99,13.55,14.44,2938.883,5.280,16.563,15.903,1.0415,NEUTRAL,12.98,LOW,24.42,12.23,12.19,0,UP,41.258,38.665,31.38,26.77,11.61,UP,BU,23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,16.060,1.440,27.080,1.440,27.080,1.440,27.080,1.440,18,2,48
9,2025-03-14,2025-03-14 00:00,2025-03-13 18:00,PatC,BUY,2980.260,8.141,7.435,7.079,1.1499,NORMAL,1.0949,EXPAND,EXPANDING,29.50,12.82,25.05,MID,31.10,12.73,18.36,2941.391,5.228,16.563,15.903,1.0415,NEUTRAL,12.98,LOW,24.42,12.23,12.19,0,UP,41.258,38.665,31.38,26.77,11.61,UP,BU,23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,13.600,3.900,24.620,3.900,24.620,3.900,24.620,3.900,17,1,48
10,2025-03-14,2025-03-14 00:00,2025-03-13 18:00,PatD,BUY,2980.260,8.141,7.435,7.079,1.1499,NORMAL,1.0949,EXPAND,EXPANDING,29.50,12.82,25.05,MID,31.10,12.73,18.36,2941.391,5.228,16.563,15.903,1.0415,NEUTRAL,12.98,LOW,24.42,12.23,12.19,0,UP,41.258,38.665,31.38,26.77,11.61,UP,BU,23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,13.600,3.900,24.620,3.900,24.620,3.900,24.620,3.900,17,1,48
