trade_id,entry_jst,exit_jst,direction,entry_price,server_offset_hours
T001,2026-03-17 13:00,,BUY,5020.000,2
T002,2026-03-19 13:47,2026-03-19 14:33,SELL,4657.000,2
T003,2026-03-20 01:04,2026-03-20 03:40,SELL,4642.000,2
T004,2026-03-23 00:05,2026-03-23 00:21,SELL,4473.000,2
T005,2026-03-23 03:58,2026-03-23 05:08,SELL,4391.000,2
T006,2026-03-23 09:58,,SELL,4490.000,2
T007,2026-03-24 00:00,,SELL,1.000,2
T008,2026-03-25 12:07,2026-03-25 19:33,BUY,4558.000,2
T009,2026-03-26 01:36,2026-03-26 03:05,SELL,4499.000,2
T010,2026-03-26 03:00,2026-03-26 05:24,BUY,4538.000,2
T011,2026-03-26 09:06,2026-03-27 00:02,SELL,4447.000,2
T012,2026-03-27 03:36,2026-03-27 07:35,SELL,4414.000,2
T013,2026-03-30 12:02,2026-03-31 03:20,BUY,4540.000,3
T014,2026-03-31 23:15,2026-04-01 22:55,BUY,4681.000,3
T015,2026-04-06 12:02,2026-04-07 04:52,BUY,4699.000,3
T016,2026-04-08 01:43,2026-04-08 03:19,BUY,4776.000,3
T017,2026-04-14 10:06,2026-04-14 13:39,BUY,4793.000,3
T018,2026-04-16 13:46,2026-04-17 02:28,SELL,4800.000,3
T019,2026-04-20 06:37,2026-04-21 17:40,BUY,4791.000,3
T020,2026-04-21 23:46,2026-04-22 23:21,BUY,4710.000,3
T021,2026-04-28 09:50,2026-04-28 14:17,SELL,4628.000,3
T022,2026-05-06 01:58,2026-05-06 12:09,BUY,4569.000,3
T023,2026-05-11 01:17,2026-05-11 06:14,BUY,4690.000,3
T024,2026-05-12 11:48,2026-05-12 18:22,BUY,4704.000,3
T025,2026-05-14 01:33,2026-05-14 23:35,BUY,4696.000,3
T026,2026-05-20 15:15,2026-05-20 18:16,SELL,4500.000,3
T027,2026-05-21 01:25,2026-05-26 05:26,SELL,4536.000,3
T028,2026-05-26 07:06,2026-05-27 14:03,SELL,4539.000,3
T029,2026-05-29 01:02,2026-05-29 17:05,SELL,4498.000,3
T030,2026-06-02 01:19,2026-06-02 10:11,SELL,4484.000,3
